rank	name	childcount	min	max	mode	median	mean	stddev
genus	Thermodesulfobacterium	1	1	1	1	1	1	0
genus	Beijerinckia	1	3	3	3	3	3	0
genus	Frateuria	1	4	4	4	4	4	0
genus	Thermodesulfatator	1	2	2	2	2	2	0
genus	Acidaminococcus	2	3	6		4.5	4.5	1.5
genus	Carboxydothermus	1	4	4	4	4	4	0
genus	Hydrogenobaculum	3	2	2	2	2	2	0
genus	Lachnospiracea_incertae_sedis	3	4	5	5	5	4.67	0.47
genus	Atopobium	1	1	1	1	1	1	0
genus	Isoptericola	1	3	3	3	3	3	0
genus	Saprospira	1	3	3	3	3	3	0
genus	Gallibacterium	1	6	6	6	6	6	0
genus	Gilliamella	1	4	4	4	4	4	0
genus	Thioalkalivibrio	3	1	1	1	1	1	0
genus	Methylocystis	1	1	1	1	1	1	0
genus	Fervidicoccus	1	1	1	1	1	1	0
genus	Ignavibacterium	2	1	1	1	1	1	0
genus	Elizabethkingia	1	5	5	5	5	5	0
genus	Lysinibacillus	2	10	10	10	10	10	0
genus	Acetobacter	6	5	5	5	5	5	0
genus	Thermoanaerobacterium	3	5	5	5	5	5	0
genus	Nitrososphaera	3	1	1	1	1	1	0
genus	Kocuria	1	3	3	3	3	3	0
genus	Janthinobacterium	1	1	1	1	1	1	0
genus	Dictyoglomus	2	2	2	2	2	2	0
genus	Porphyromonas	4	2	4	4	4	3.5	0.87
genus	Neisseria	18	4	4	4	4	4	0
genus	Idiomarina	2	4	4	4	4	4	0
genus	Azotobacter	2	6	6	6	6	6	0
genus	Ureaplasma	3	2	2	2	2	2	0
genus	Coraliomargarita	1	2	2	2	2	2	0
genus	Methanospirillum	1	4	4	4	4	4	0
genus	Ramlibacter	1	1	1	1	1	1	0
genus	Microbacterium	1	2	2	2	2	2	0
genus	Gordonia	3	2	3	3	3	2.67	0.47
genus	Mesoplasma	4	2	2	2	2	2	0
genus	Nitrosococcus	3	2	2	2	2	2	0
genus	Vibrio	22	6	12	8	8	8.68	1.74
genus	Leptospirillum	2	2	3		2.5	2.5	0.5
genus	Methanocorpusculum	1	3	3	3	3	3	0
genus	Mannheimia	11	6	6	6	6	6	0
genus	Xenorhabdus	1	7	7	7	7	7	0
genus	Gluconacetobacter	3	4	5	4	4	4.33	0.47
genus	Actinoplanes	4	3	6	6	5	4.75	1.3
genus	Pandoraea	3	4	5	4	4	4.33	0.47
genus	Haemophilus	13	5	6	6	6	5.92	0.27
genus	Photobacterium	1	15	15	15	15	15	0
genus	Picrophilus	1	1	1	1	1	1	0
genus	Aeromonas	7	9	10	10	10	9.86	0.35
genus	Finegoldia	1	4	4	4	4	4	0
genus	Odoribacter	1	4	4	4	4	4	0
genus	Methylobacterium	8	5	7	5	5	5.5	0.71
genus	Gramella	1	3	3	3	3	3	0
genus	Prosthecochloris	2	1	2		1.5	1.5	0.5
genus	Syntrophomonas	1	3	3	3	3	3	0
genus	Basfia	1	6	6	6	6	6	0
genus	Caulobacter	4	2	2	2	2	2	0
genus	Methanomethylovorans	1	2	2	2	2	2	0
genus	Sulfobacillus	2	5	5	5	5	5	0
